id,parent,name,level,question
599,,Malaita,0,634200919
591,,Rennell and Bellona,0,634200919
595,,Temotu,0,634200919
596,,Western,0,634200919
594,,Central,0,634200919
597,,Choiseul,0,634200919
592,,Guadalcanal,0,634200919
598,,Honiara,0,634200919
600,,Isabel,0,634200919
593,,Makira and Ulawa,0,634200919
735,593.0,National Secondary School,1,634200919
138,593.0,Early Childhood Education Center,1,634200919
136,593.0,Community High School,1,634200919
1533,600.0,Rural Training Centre,1,634200919
723,600.0,Provincial Secondary School,1,634200919
12,600.0,Primary School,1,634200919
10,600.0,Early Childhood Education Center,1,634200919
24,600.0,Community High School,1,634200919
126,598.0,Rural Training Centre,1,634200919
2304,598.0,Provincial Secondary School,1,634200919
36,598.0,Primary School,1,634200919
1648,598.0,National Secondary School,1,634200919
14,598.0,Early Childhood Education Center,1,634200919
123,598.0,Community High School,1,634200919
466,592.0,Secondary School,1,634200919
103,592.0,Rural Training Centre,1,634200919
541,592.0,Provincial Secondary School,1,634200919
43,592.0,Primary School,1,634200919
105,592.0,National Secondary School,1,634200919
2,592.0,Early Childhood Education Center,1,634200919
49,592.0,Community High School,1,634200919
636,597.0,Secondary School,1,634200919
1549,597.0,Rural Training Centre,1,634200919
337,597.0,Provincial Secondary School,1,634200919
119,597.0,Primary School,1,634200919
2303,591.0,Provincial Secondary School,1,634200919
547,591.0,Primary School,1,634200919
545,591.0,Early Childhood Education Center,1,634200919
890,591.0,Community High School,1,634200919
607,599.0,Rural Training Centre,1,634200919
722,599.0,Provincial Secondary School,1,634200919
6,599.0,Primary School,1,634200919
556,599.0,National Secondary School,1,634200919
32,599.0,Early Childhood Education Center,1,634200919
4,599.0,Community High School,1,634200919
724,593.0,Rural Training Centre,1,634200919
1641,593.0,Provincial Secondary School,1,634200919
445,593.0,Primary School,1,634200919
219,594.0,Primary School,1,634200919
536,594.0,Provincial Secondary School,1,634200919
538,594.0,Rural Training Centre,1,634200919
221,594.0,Community High School,1,634200919
96,594.0,Early Childhood Education Center,1,634200919
744,596.0,Rural Training Centre,1,634200919
732,596.0,Provincial Secondary School,1,634200919
20,597.0,Early Childhood Education Center,1,634200919
34,596.0,Primary School,1,634200919
193,597.0,Community High School,1,634200919
350,596.0,National Secondary School,1,634200919
108,596.0,Early Childhood Education Center,1,634200919
113,596.0,Community High School,1,634200919
1170,595.0,Rural Training Centre,1,634200919
1168,595.0,Provincial Secondary School,1,634200919
131,595.0,Primary School,1,634200919
17,595.0,Early Childhood Education Center,1,634200919
228,595.0,Community High School,1,634200919
725,591.0,Rural Training Centre,1,634200919
2283,219.0,Nautuha Primary,2,634200919
2850,219.0,New Vunuha Primary,2,634200919
733,219.0,Not available,2,634200919
691,219.0,Paibeta CHS ,2,634200919
1828,219.0,Paposi Primary,2,634200919
1251,219.0,Polomuhu CHS ,2,634200919
1865,219.0,Ravusodukosi Primary,2,634200919
246,219.0,Salesapa Primary,2,634200919
934,219.0,Silas Primary,2,634200919
950,219.0,Siro CHS,2,634200919
1291,219.0,Soso Primary,2,634200919
2821,219.0,Voloa Primary School,2,634200919
869,219.0,Vura Primary,2,634200919
995,219.0,Yandina CHS,2,634200919
811,49.0,Bubunuhu CHS,2,634200919
1448,221.0,Belaga CHS,2,634200919
220,221.0,Binusa/Vatilau CHS,2,634200919
490,221.0,Dala CHS,2,634200919
1109,221.0,Dota CHS,2,634200919
2492,221.0,Fly Harbour CHS,2,634200919
1537,221.0,Gela Ilau CHS,2,634200919
2036,221.0,Hae CHS,2,634200919
376,221.0,Halavo CHS,2,634200919
965,221.0,Kalaka CHS,2,634200919
1550,221.0,Leitongo CHS,2,634200919
2212,221.0,Louna CHS,2,634200919
1071,221.0,Macmahon CHS,2,634200919
1231,221.0,Marvin Memorial CHS,2,634200919
1558,221.0,Not available,2,634200919
1093,221.0,Nukufero CHS,2,634200919
689,221.0,Paibeta CHS,2,634200919
1243,221.0,Pokilo CHS,2,634200919
1249,221.0,Polomuhu CHS,2,634200919
2110,221.0,Rara CHS,2,634200919
2232,221.0,Ravadi CHS,2,634200919
948,221.0,Siro CHS,2,634200919
1631,221.0,Taroniara CHS,2,634200919
877,221.0,Vuranimala CHS,2,634200919
1470,221.0,Vuturua CHS,2,634200919
994,221.0,Yandina CHS,2,634200919
95,96.0,Belaga ECE,2,634200919
2150,96.0,Bokolonga ECCE,2,634200919
1901,96.0,Boromole Kindergarten,2,634200919
601,96.0,Dota Kindergarten,2,634200919
2037,96.0,Hae ECCE,2,634200919
378,96.0,Halavo kindergarten,2,634200919
2632,96.0,Koilovala Kindergarten,2,634200919
271,96.0,Leitongo Kindy,2,634200919
1161,96.0,Louna Kindy,2,634200919
1073,96.0,Macmahon Kindergarten,2,634200919
1229,96.0,Marvin Kindy,2,634200919
1770,96.0,Nagotano Kindergarten,2,634200919
2848,96.0,New Vunuha Kindy,2,634200919
1284,96.0,Nofokese Kindy,2,634200919
1559,96.0,Not available,2,634200919
693,96.0,Paibeta ECE,2,634200919
1827,96.0,Paposi ECE,2,634200919
1245,96.0,Pokilo Kindergarten,2,634200919
2608,96.0,Polomuhu Kindergarten,2,634200919
2112,96.0,Rara ECCE,2,634200919
932,96.0,Silas Memorial ECE,2,634200919
1120,96.0,Siro Coummunity Kindy,2,634200919
1633,96.0,Taroniara Kindergarten,2,634200919
879,96.0,Vuranimala Kindergarten,2,634200919
1471,96.0,Vuturua ECE,2,634200919
996,96.0,Yandina Kindergarten,2,634200919
1449,219.0,Belaga CHS,2,634200919
218,219.0,Binusa/Vatilau CHS,2,634200919
2151,219.0,Bokolonga Primary,2,634200919
1899,219.0,Bonarogu Primary,2,634200919
1902,219.0,Boromole Primary,2,634200919
492,219.0,Dala CHS,2,634200919
1100,219.0,Dende Primary,2,634200919
1150,219.0,Ghole Primary,2,634200919
675,219.0,Ha'a Primary School,2,634200919
374,219.0,Halavo CHS,2,634200919
435,219.0,Haroro Primary,2,634200919
758,219.0,Henry Koga Memorial School,2,634200919
966,219.0,Kalaka CHS,2,634200919
2634,219.0,Koilovala Primary,2,634200919
1771,219.0,Nagotano Primary,2,634200919
535,536.0,Not available,2,634200919
942,536.0,Siota PSS,2,634200919
537,538.0,Not available,2,634200919
1295,538.0,St Alberts RTC,2,634200919
2147,193.0,Boe CHS,2,634200919
234,193.0,Katupika CHS,2,634200919
192,193.0,Konamana CHS,2,634200919
346,193.0,Kukele CHS,2,634200919
1650,193.0,Not available,2,634200919
1089,193.0,Nukiki CHS,2,634200919
2599,193.0,Ogho CHS,2,634200919
1350,193.0,Panarui CHS,2,634200919
1358,193.0,Pangobiru CHS,2,634200919
1359,193.0,Pangoe CHS,2,634200919
1824,193.0,Papara CHS,2,634200919
1708,193.0,Pirakamae CHS,2,634200919
895,193.0,Puzivai CHS,2,634200919
1928,193.0,Sasamunga CHS,2,634200919
1528,193.0,Soranamola CHS,2,634200919
2824,193.0,Voza CHS,2,634200919
875,193.0,Vurango CHS,2,634200919
1473,193.0,Wagina CHS,2,634200919
2512,20.0,Arariki ECE,2,634200919
2362,20.0,Bangara seqa Kindy,2,634200919
2148,20.0,Boe Kindergarten,2,634200919
1900,20.0,Borokuni Kindy,2,634200919
333,20.0,Chivoko Kindergarten,2,634200919
964,20.0,Kakasa Kindy,2,634200919
281,20.0,Lengatura Kindy,2,634200919
19,20.0,Levaleva Kindergarten,2,634200919
1764,20.0,Nabusasa Kindergarten,2,634200919
1649,20.0,Not available,2,634200919
1081,20.0,Nuatambu Kindy,2,634200919
1091,20.0,Nukiki Kindergarten,2,634200919
2600,20.0,Ogho Kindergarten,2,634200919
1352,20.0,Panarui Kindergarten,2,634200919
1826,20.0,Papara kindergarten,2,634200919
1829,20.0,Paqoe Zone 1 Kindergarten,2,634200919
894,20.0,Purina Bangara Kindy,2,634200919
1778,20.0,Ruruvai Kindergarten,2,634200919
243,20.0,Salakana Kindergarten,2,634200919
1923,20.0,Saqigae Kindy,2,634200919
1930,20.0,Sasamunga Kindergarten,2,634200919
2722,20.0,Sepa Kindergarten,2,634200919
171,20.0,St Francisco Kindy,2,634200919
633,20.0,St Joseph Moli Kindergarten,2,634200919
553,20.0,Susuka Kindy,2,634200919
747,20.0,Tagi Kindy,2,634200919
2005,20.0,Tuzu Kindergarten,2,634200919
2826,20.0,Voza Kindy,2,634200919
1474,20.0,Wagina Kindergarten,2,634200919
